y var rpos
,intercept,logsize,avg daily(mkt adj)
prev 1 days,1.292***,0.0234***,0.0041***,
tval,[86.46],[11.14],[10.94],
prev 2 days,1.295***,0.0231***,0.0083***,
tval,[86.59],[10.96],[14.8],
prev 3 days,1.2984***,0.0227***,0.0123***,
tval,[86.77],[10.76],[16.62],
prev 5 days,1.3018***,0.0222***,0.0193***,
tval,[86.93],[10.55],[18.84],
prev 10 days,1.3106***,0.0211***,0.0362***,
tval,[87.36],[10.01],[21.82],
prev 20 days,1.3204***,0.0199***,0.0676***,
tval,[87.68],[9.38],[25.33],
prev 60 days,1.3541***,0.0156***,0.1517***,
tval,[88.77],[7.27],[28.77],
prev 125 days,1.4061***,0.0088***,0.2593***,
tval,[90.04],[4.0],[32.27],
prev 250 days,1.4432***,0.0038,0.3615***,
tval,[89.07],[1.7],[30.35],
prev 500 days,1.4576***,0.0017,0.4591***,
tval,[84.89],[0.7],[24.51],
prev 750 days,1.4622***,0.0011,0.4276***,
tval,[81.05],[0.44],[17.48],
prev 1000 days,1.46***,0.0018,0.3642***,
tval,[77.39],[0.68],[12.22],
prev 1250 days,1.4755***,0.0006,0.3803***,
tval,[74.8],[0.2],[10.73],

y var rneg
,intercept,logsize,avg daily(mkt adj)
prev 1 days,1.7834***,-0.0438***,-0.0112***,
tval,[94.35],[-16.47],[-23.51],
prev 2 days,1.7801***,-0.0434***,-0.0217***,
tval,[94.17],[-16.32],[-30.64],
prev 3 days,1.7721***,-0.0424***,-0.033***,
tval,[93.79],[-15.95],[-35.34],
prev 5 days,1.7617***,-0.0411***,-0.0513***,
tval,[93.24],[-15.45],[-39.66],
prev 10 days,1.7435***,-0.0387***,-0.0974***,
tval,[92.26],[-14.57],[-46.57],
prev 20 days,1.7176***,-0.0354***,-0.1805***,
tval,[90.69],[-13.3],[-53.79],
prev 60 days,1.6404***,-0.0253***,-0.4317***,
tval,[85.89],[-9.43],[-65.39],
prev 125 days,1.5486***,-0.013***,-0.7231***,
tval,[79.39],[-4.75],[-72.02],
prev 250 days,1.4667***,-0.0016,-1.1323***,
tval,[72.77],[-0.58],[-76.4],
prev 500 days,1.4445***,0.0031,-1.7529***,
tval,[67.75],[1.04],[-75.35],
prev 750 days,1.4202***,0.0078*,-2.1104***,
tval,[63.49],[2.52],[-69.57],
prev 1000 days,1.3989***,0.0115***,-2.4731***,
tval,[59.97],[3.56],[-67.1],
prev 1250 days,1.3884***,0.0132***,-2.8292***,
tval,[57.27],[3.96],[-64.96],

y var rnneg
,intercept,logsize,avg daily(mkt adj)
prev 1 days,0.4915***,-0.0673***,-0.0153***,
tval,[19.23],[-18.69],[-23.79],
prev 2 days,0.485***,-0.0665***,-0.03***,
tval,[18.98],[-18.48],[-31.32],
prev 3 days,0.4736***,-0.0651***,-0.0453***,
tval,[18.54],[-18.1],[-35.87],
prev 5 days,0.4599***,-0.0633***,-0.0706***,
tval,[18.01],[-17.61],[-40.38],
prev 10 days,0.4329***,-0.0599***,-0.1337***,
tval,[16.95],[-16.65],[-47.26],
prev 20 days,0.3973***,-0.0553***,-0.2481***,
tval,[15.52],[-15.36],[-54.7],
prev 60 days,0.2863***,-0.0408***,-0.5834***,
tval,[11.09],[-11.27],[-65.35],
prev 125 days,0.1425***,-0.0217***,-0.9825***,
tval,[5.4],[-5.88],[-72.37],
prev 250 days,0.0235,-0.0055,-1.4938***,
tval,[0.86],[-1.44],[-74.4],
prev 500 days,-0.0132,0.0014,-2.212***,
tval,[-0.46],[0.35],[-70.08],
prev 750 days,-0.0421,0.0067,-2.5381***,
tval,[-1.38],[1.6],[-61.56],
prev 1000 days,-0.0611,0.0097*,-2.8373***,
tval,[-1.92],[2.21],[-56.5],
prev 1250 days,-0.0871**,0.0127**,-3.2096***,
tval,[-2.63],[2.78],[-53.95],

y var rpos
,intercept,logsize,avg daily(mkt adj)
next 1 days,1.2963***,0.0229***,0.002***,
tval,[86.8],[10.87],[3.55],
next 2 days,1.2982***,0.0226***,0.0039***,
tval,[86.88],[10.75],[4.78],
next 3 days,1.3001***,0.0224***,0.0057***,
tval,[86.94],[10.63],[5.74],
next 5 days,1.3025***,0.0221***,0.0084***,
tval,[86.98],[10.47],[5.94],
next 10 days,1.3063***,0.0216***,0.0106***,
tval,[86.9],[10.21],[4.76],
next 20 days,1.3122***,0.0208***,0.016***,
tval,[86.63],[9.77],[4.65],
next 60 days,1.3357***,0.0174***,0.044***,
tval,[85.43],[7.95],[7.13],
next 125 days,1.3476***,0.0153***,0.0815***,
tval,[82.08],[6.65],[8.65],
next 250 days,1.3226***,0.0172***,0.1106***,
tval,[73.58],[6.87],[7.72],
next 500 days,1.3002***,0.0155***,0.1373***,
tval,[61.59],[5.26],[5.73],
next 750 days,1.3092***,0.0089*,0.1903***,
tval,[51.31],[2.49],[5.2],
next 1000 days,1.3756***,-0.0066,0.2232***,
tval,[40.66],[-1.39],[3.84],
next 1250 days,1.4047***,-0.0162**,0.1934*,
tval,[33.99],[-2.79],[2.38],

y var rneg
,intercept,logsize,avg daily(mkt adj)
next 1 days,1.7683***,-0.0419***,-0.0037***,
tval,[93.51],[-15.73],[-5.21],
next 2 days,1.7622***,-0.0411***,-0.0079***,
tval,[93.17],[-15.44],[-7.74],
next 3 days,1.7577***,-0.0405***,-0.0102***,
tval,[92.88],[-15.21],[-8.03],
next 5 days,1.7546***,-0.0402***,-0.0138***,
tval,[92.6],[-15.05],[-7.7],
next 10 days,1.7461***,-0.039***,-0.0175***,
tval,[91.83],[-14.58],[-6.21],
next 20 days,1.7323***,-0.0373***,-0.0312***,
tval,[90.44],[-13.84],[-7.17],
next 60 days,1.6745***,-0.03***,-0.0837***,
tval,[84.67],[-10.82],[-10.71],
next 125 days,1.6407***,-0.0256***,-0.121***,
tval,[78.9],[-8.79],[-10.14],
next 250 days,1.6216***,-0.0217***,-0.1391***,
tval,[70.63],[-6.78],[-7.6],
next 500 days,1.5736***,-0.0102**,-0.2493***,
tval,[56.79],[-2.65],[-7.92],
next 750 days,1.5765***,-0.0059,-0.2194***,
tval,[46.17],[-1.24],[-4.48],
next 1000 days,1.6352***,-0.0085,-0.2397**,
tval,[35.63],[-1.33],[-3.04],
next 1250 days,1.6711***,-0.008,-0.6908***,
tval,[29.25],[-1.0],[-6.16],

y var rnneg
,intercept,logsize,avg daily(mkt adj)
next 1 days,0.472***,-0.0648***,-0.0057***,
tval,[18.46],[-17.98],[-5.93],
next 2 days,0.464***,-0.0637***,-0.0117***,
tval,[18.14],[-17.7],[-8.51],
next 3 days,0.4576***,-0.0629***,-0.0159***,
tval,[17.88],[-17.46],[-9.29],
next 5 days,0.4521***,-0.0622***,-0.0222***,
tval,[17.65],[-17.25],[-9.17],
next 10 days,0.4398***,-0.0606***,-0.0281***,
tval,[17.11],[-16.75],[-7.37],
next 20 days,0.4201***,-0.0581***,-0.0472***,
tval,[16.22],[-15.96],[-8.02],
next 60 days,0.3388***,-0.0475***,-0.1277***,
tval,[12.69],[-12.66],[-12.1],
next 125 days,0.2931***,-0.0409***,-0.2025***,
tval,[10.46],[-10.42],[-12.59],
next 250 days,0.299***,-0.0389***,-0.2497***,
tval,[9.73],[-9.08],[-10.19],
next 500 days,0.2734***,-0.0257***,-0.3866***,
tval,[7.48],[-5.05],[-9.31],
next 750 days,0.2672***,-0.0148*,-0.4097***,
tval,[5.98],[-2.37],[-6.4],
next 1000 days,0.2596***,-0.002,-0.4628***,
tval,[4.33],[-0.24],[-4.5],
next 1250 days,0.2665***,0.0082,-0.8843***,
tval,[3.57],[0.78],[-6.03],

y var: geometric daily avg ret(AFTER article)
,intercept,logsize,rpos
next 1 days,0.3283***,-0.0528***,4.3321***,
tval,[4.59],[-5.36],[3.55],
next 2 days,-0.1631**,0.01,4.0325***,
tval,[-3.29],[1.47],[4.78],
next 3 days,-0.2812***,0.0257***,3.9105***,
tval,[-7.03],[4.67],[5.74],
next 5 days,-0.3107***,0.0319***,2.8617***,
tval,[-10.98],[8.21],[5.94],
next 10 days,-0.3176***,0.0371***,1.4627***,
tval,[-17.56],[14.92],[4.76],
next 20 days,-0.3424***,0.0417***,0.9318***,
tval,[-28.96],[25.7],[4.65],
next 60 days,-0.3448***,0.0419***,0.8265***,
tval,[-50.07],[44.41],[7.13],
next 125 days,-0.3175***,0.0389***,0.6996***,
tval,[-65.41],[58.56],[8.65],
next 250 days,-0.2553***,0.0313***,0.4691***,
tval,[-68.77],[61.65],[7.72],
next 500 days,-0.1853***,0.023***,0.2736***,
tval,[-62.22],[56.37],[5.73],
next 750 days,-0.1331***,0.0166***,0.2162***,
tval,[-48.84],[44.5],[5.2],
next 1000 days,-0.0926***,0.0118***,0.1522***,
tval,[-32.92],[30.59],[3.84],
next 1250 days,-0.0692***,0.009***,0.0933*,
tval,[-23.9],[22.52],[2.38],

,intercept,logsize,rneg
next 1 days,0.4731***,-0.0539***,-5.0188***,
tval,[6.58],[-5.47],[-5.21],
next 2 days,-0.0198,0.0088,-5.1604***,
tval,[-0.4],[1.29],[-7.74],
next 3 days,-0.1544***,0.0248***,-4.3179***,
tval,[-3.85],[4.51],[-8.03],
next 5 days,-0.222***,0.0314***,-2.9275***,
tval,[-7.82],[8.07],[-7.7],
next 10 days,-0.2721***,0.0368***,-1.5081***,
tval,[-15.0],[14.8],[-6.21],
next 20 days,-0.3104***,0.0415***,-1.1372***,
tval,[-26.18],[25.54],[-7.17],
next 60 days,-0.3172***,0.0418***,-0.981***,
tval,[-46.03],[44.23],[-10.71],
next 125 days,-0.2974***,0.0388***,-0.6472***,
tval,[-61.27],[58.45],[-10.14],
next 250 days,-0.2433***,0.0313***,-0.3617***,
tval,[-65.52],[61.66],[-7.6],
next 500 days,-0.1772***,0.023***,-0.2881***,
tval,[-59.58],[56.4],[-7.92],
next 750 days,-0.1281***,0.0166***,-0.1392***,
tval,[-47.12],[44.53],[-4.48],
next 1000 days,-0.0891***,0.0118***,-0.0889**,
tval,[-31.77],[30.55],[-3.04],
next 1250 days,-0.0649***,0.0089***,-0.1742***,
tval,[-22.51],[22.43],[-6.16],

,intercept,logsize,rnneg
next 1 days,0.4043***,-0.0545***,-4.2224***,
tval,[5.78],[-5.54],[-5.93],
next 2 days,-0.0913,0.0082,-4.198***,
tval,[-1.89],[1.21],[-8.51],
next 3 days,-0.2134***,0.0242***,-3.696***,
tval,[-5.46],[4.4],[-9.29],
next 5 days,-0.2617***,0.0309***,-2.5782***,
tval,[-9.48],[7.95],[-9.17],
next 10 days,-0.2926***,0.0366***,-1.3246***,
tval,[-16.57],[14.71],[-7.37],
next 20 days,-0.3261***,0.0413***,-0.941***,
tval,[-28.26],[25.46],[-8.02],
next 60 days,-0.3307***,0.0417***,-0.8209***,
tval,[-49.24],[44.12],[-12.1],
next 125 days,-0.3061***,0.0387***,-0.5964***,
tval,[-64.64],[58.31],[-12.59],
next 250 days,-0.2479***,0.0312***,-0.3621***,
tval,[-68.31],[61.51],[-10.19],
next 500 days,-0.1809***,0.023***,-0.2568***,
tval,[-62.05],[56.3],[-9.31],
next 750 days,-0.1298***,0.0166***,-0.1517***,
tval,[-48.57],[44.48],[-6.4],
next 1000 days,-0.0902***,0.0118***,-0.1007***,
tval,[-32.68],[30.56],[-4.5],
next 1250 days,-0.0675***,0.009***,-0.1306***,
tval,[-23.73],[22.5],[-6.03],

y var: avg daily turn over(trading vol / shrout) (AFTER article)
,intercept,logsize,diffop1
next 1 days,108.0791***,-11.7829***,36.9208***,
tval,[73.34],[-57.96],[5.41],
next 2 days,99.8145***,-10.7616***,31.3121***,
tval,[76.51],[-59.81],[5.19],
next 3 days,95.7014***,-10.2668***,26.7476***,
tval,[77.09],[-59.97],[4.66],
next 5 days,87.1683***,-9.2142***,22.6449***,
tval,[82.13],[-62.96],[4.61],
next 10 days,77.1902***,-7.9887***,18.7932***,
tval,[89.67],[-67.32],[4.73],
next 20 days,69.0214***,-6.9742***,13.1191***,
tval,[100.24],[-73.51],[4.15],
next 60 days,59.9118***,-5.8338***,7.872**,
tval,[107.52],[-76.09],[3.08],
next 125 days,55.208***,-5.2457***,6.1697**,
tval,[107.93],[-74.71],[2.65],
next 250 days,51.0821***,-4.7231***,2.4155,
tval,[104.25],[-70.49],[1.08],

,intercept,logsize,diffop2
next 1 days,125.2797***,-13.9179***,166.7383***,
tval,[61.4],[-50.75],[4.65],
next 2 days,116.5224***,-12.8163***,142.3716***,
tval,[64.2],[-52.55],[4.46],
next 3 days,111.3723***,-12.1791***,125.7337***,
tval,[66.1],[-53.79],[4.25],
next 5 days,101.9036***,-11.0021***,111.6725***,
tval,[71.29],[-57.28],[4.45],
next 10 days,90.3607***,-9.5763***,100.657***,
tval,[80.23],[-63.28],[5.11],
next 20 days,80.6483***,-8.3762***,90.1594***,
tval,[86.97],[-67.24],[5.57],
next 60 days,69.6713***,-6.9951***,69.3796***,
tval,[90.78],[-67.88],[5.23],
next 125 days,64.0793***,-6.2893***,59.1205***,
tval,[89.93],[-65.82],[4.85],
next 250 days,58.4778***,-5.5925***,51.5798***,
tval,[85.78],[-61.27],[4.51],

